"incident_county","incident_name","incident_acres_burned","incident_latitude","incident_longitude","incident_type","incident_date_created","incident_dateonly_created","created_year","created_month","incident_date_extinguished","incident_dateonly_extinguished","incident_id"
"Sacramento","Browns Fire","84","38.3525","-121.123611","Wildfire","2019-08-02 02:23:00-07","2019-08-02","2019","8","2019-08-02 07:03:00-07","2019-08-02","12e44df4-d425-4f09-96b9-25256ffbdcb2"
"Sacramento","Prairie Fire ","50","38.622058","-121.114095","Wildfire","2019-08-02 07:45:00-07","2019-08-02","2019","8","2019-08-02 10:00:00-07","2019-08-02","a0d95805-48db-467e-8dd5-db761eb5ae74"
"Modoc","Meadow Fire (Not a CAL FIRE incident)","103","41.43783","-120.23976","Wildfire","2019-08-02 09:53:18-07","2019-08-02","2019","8","2019-08-02 14:39:00-07","2019-08-02","2f735b66-c275-4557-a8ad-0ff60e0552f3"
"San Diego","Caliente Fire","448","32.575556","-117.026667","Wildfire","2019-08-01 07:53:15-07","2019-08-01","2019","8","2019-08-03 02:10:00-07","2019-08-03","ca65fae0-e6d7-4600-890c-62da03753131"
"San Bernardino","La Barisa Fire","26","34.202883","-116.4449","Wildfire","2019-08-03 10:22:51-07","2019-08-03","2019","8","2019-08-03 23:39:00-07","2019-08-04","4433d477-a962-4ad9-a306-71f0f79fff65"
"Los Angeles","Five Fire","156","34.677864","-118.752395","Wildfire","2019-08-03 10:01:15-07","2019-08-03","2019","8","2019-08-05 05:25:00-07","2019-08-05","ed5e111d-e34a-42c0-9ce7-818270037c2c"
"Santa Barbara","Range Fire","100","34.665699","-119.94974","Wildfire","2019-07-28 15:39:05-07","2019-07-28","2019","7","2019-08-05 05:27:00-07","2019-08-05","bc2edb86-fb4b-4dba-a9e0-5339f27d9bce"
"Contra Costa","Marsh Complex","340","37.908362","-121.872941","Wildfire","2019-08-03 01:16:00-07","2019-08-03","2019","8","2019-08-06 11:42:00-07","2019-08-06","1f576988-2ad0-4a7b-afed-f650caafc579"
"Riverside","Toro Fire ","94","33.740219","-117.333728","Wildfire","2019-08-05 08:36:23-07","2019-08-05","2019","8","2019-08-06 11:42:00-07","2019-08-06","0089d3c4-c554-46e1-8eb9-af95e4dfae0c"
"Kern","Caliente Fire","29","35.287373","-118.623651","Wildfire","2019-08-05 06:56:02-07","2019-08-05","2019","8","2019-08-06 11:43:00-07","2019-08-06","fbe088d0-2a17-4d04-aac7-0e32ac8a1ef7"
